% Daily baseline values on the 08A scale
% Created 10-Jul-2016 08:38:45
%
% The CO2 data here are daily baseline averages.  The file contains all
% valid readings, with missing values denoted by NaN.  The data used to
% calculate the daily averages have been screened to eliminate local
% influences, such as the impacts of downslope vegetation  or volcanic
% fumaroles, on the record.
%
% We provide these data primarily for the users interested in subweekly or
% finer-scale variability. For users interested primarily in longer-term
% variability, we recommend using standard weekly or monthly products which
% are more authoritative on these longer time scales.  The standard weekly and
% monthly products are located at:
%
% http://scrippsco2.ucsd.edu/data/atmospheric_co2/
%
% Further details on these this high resolution dataset can be found in the
% technical report:
%
% Walker, S. J., R. F. Keeling and S. C. Piper
% (2016). Reconstruction of the Mauna Loa Carbon Dioxide Record using
% High Frequency APC Data from 1958 through 2004. La Jolla, California,
% Scripps Institution of Oceanography: 1-17.
%
%
%
% Yr    - Year
% Mn    - Month
% Dy    - Day
% CO2   - CO2 baseline value
% NB    - Number of hourly averages in the baseline
% scale - Calibration scale code
%
% Yr, Mn, Dy,    CO2, NB, scale
1959, 04, 06, 317.14, 24, 8.1
1959, 04, 07, 317.55, 19, 8.1
1959, 04, 08, 316.92, 14, 8.1
1959, 04, 09, 316.91,  9, 8.1
1959, 04, 10, 317.42, 19, 8.1
1959, 04, 11, 317.07, 10, 8.1
1959, 04, 12, 316.84,  8, 8.1
1959, 04, 13, 316.96, 21, 8.1
1959, 04, 14, 317.53, 20, 8.1
1959, 04, 15, 317.40,  1, 8.1
1959, 04, 16, 317.31, 16, 8.1
1959, 04, 17, 316.78,  7, 8.1
1959, 04, 18, 317.43, 10, 8.1
1959, 04, 19, 318.05, 13, 8.1
1959, 04, 20, 318.31,  6, 8.1
1959, 04, 21, 318.53,  7, 8.1
1959, 04, 22, 318.26,  8, 8.1
1959, 04, 23,    NaN,  0, 8.1
1959, 04, 24, 318.61,  2, 8.1
1959, 04, 25, 318.57, 13, 8.1
1959, 04, 26, 318.55, 14, 8.1
1959, 04, 27, 318.35, 17, 8.1
1959, 04, 28, 318.16,  8, 8.1
1959, 04, 29, 318.36,  1, 8.1
1959, 04, 30,    NaN,  0, 8.1
1959, 05, 01,    NaN,  0, 8.1
1959, 05, 02,    NaN,  0, 8.1
1959, 05, 03,    NaN,  0, 8.1
1959, 05, 04, 318.15, 11, 8.1
1959, 05, 05, 318.44,  3, 8.1
1959, 05, 06,    NaN,  0, 8.1
1959, 05, 07,    NaN,  0, 8.1
1959, 05, 08,    NaN,  0, 8.1
1959, 05, 09,    NaN,  0, 8.1
1959, 05, 10,    NaN,  0, 8.1
1959, 05, 11,    NaN,  0, 8.1
1959, 05, 12,    NaN,  0, 8.1
1959, 05, 13, 318.35,  6, 8.1
1959, 05, 14, 318.53, 11, 8.1
1959, 05, 15, 318.72,  6, 8.1
1959, 05, 16, 317.17,  8, 8.1
1959, 05, 17, 317.71,  3, 8.1
1959, 05, 18, 317.93,  7, 8.1
1959, 05, 19, 318.30,  2, 8.1
1959, 05, 20, 318.50, 20, 8.1
1959, 05, 21, 318.65, 20, 8.1
1959, 05, 22, 318.56,  7, 8.1
1959, 05, 23, 318.01,  1, 8.1
1959, 05, 24, 318.42,  8, 8.1
1959, 05, 25, 317.92,  9, 8.1
1959, 05, 26, 318.18,  1, 8.1
1959, 05, 27,    NaN,  0, 8.1
1959, 05, 28,    NaN,  0, 8.1
1959, 05, 29,    NaN,  0, 8.1
1959, 05, 30,    NaN,  0, 8.1
1959, 05, 31,    NaN,  0, 8.1
1959, 06, 01,    NaN,  0, 8.1
1959, 06, 02,    NaN,  0, 8.1
