"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.0.1","CD-LINKS_NPi2020_400","World","Emissions|CH4","Mt CH4/yr",348.8815002,367.8930969,379.6402893,299.1119995,266.6601868,239.7713013,218.902298,208.1320953,204.222702,"",186.9951019,"",181.3023071,"",177.8509979,"",172.8894958,"",166.1309052
"IMAGE 3.0.1","CD-LINKS_NPi2020_400","World","Emissions|CO2","Mt CO2/yr",35234.37142,37630.74219,38346.40463,28930.28646,24564.95866,17328.52702,7860.049643,2355.052287,127.7481359,"",-6989.884115,"",-9254.937908,"",-10007.7522,"",-9765.250001,"",-10419.6766
"IMAGE 3.0.1","CD-LINKS_NPi2020_400","World","Emissions|N2O","kt N2O/yr",9982.49079,10508.28557,11042.34877,9684.767994,9073.328053,9011.387065,9080.86293,9506.628764,10053.42989,"",9861.504601,"",9909.347235,"",10007.79708,"",10052.48535,"",10000.8653
"IMAGE 3.0.1","IMA15-AGInt","World","Emissions|CH4","Mt CH4/yr",349.4858093,369.9284973,314.9157104,265.4068909,231.2201996,205.6660004,188.8182983,177.2843933,166.652298,"",163.7588959,"",154.3757935,"",147.1759033,"",139.8847961,"",134.0643005
"IMAGE 3.0.1","IMA15-AGInt","World","Emissions|CO2","Mt CO2/yr",35767.09082,38443.64291,35626.50424,28449.28174,22603.42627,15003.20418,10047.28613,4009.91805,-1112.730611,"",-5275.622111,"",-9482.836101,"",-9359.558757,"",-7605.077556,"",-9759.541423
"IMAGE 3.0.1","IMA15-AGInt","World","Emissions|N2O","kt N2O/yr",9819.960726,10305.78229,9250.113767,8285.201379,8099.815776,7902.421943,7857.396064,7922.844376,8123.697961,"",8606.943706,"",8575.370882,"",8666.947263,"",8544.930592,"",8666.827565
"IMAGE 3.0.1","IMA15-AGInt","World","Concentration|CH4","ppb",1782.009644,1840.088989,1868.109741,1813.534058,1713.242554,1611.869751,1532.195068,1472.870605,1427.765869,"",1376.488159,"",1344.139282,"",1313.493286,"",1287.817261,"",1262.090576
"IMAGE 3.0.1","IMA15-AGInt","World","Concentration|CO2","ppm",389.1930237,400.6099243,411.9196472,420.8557434,426.5922852,429.5475769,429.7503662,427.9986267,424.0973206,"",413.4565125,"",401.1130371,"",389.782959,"",381.9246216,"",375.1254883
"IMAGE 3.0.1","IMA15-AGInt","World","Concentration|N2O","ppb",323.2733459,327.3056641,331.1769104,334.2297668,336.6753845,338.8811035,340.8954773,342.8172302,344.7302551,"",348.8099976,"",352.8167114,"",356.5084229,"",359.9239807,"",362.9578857
"IMAGE 3.0.1","IMA15-AGInt","World","Temperature|Global Mean","°C",0.920982003,1.032928944,1.189512968,1.333984017,1.446688056,1.522292972,1.563004971,1.575507998,1.566081047,"",1.509557962,"",1.455476999,"",1.393278003,"",1.34482801,"",1.30469203
