"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.0.1","IMA15-Eff","World","Forcing|CO2","W/m2",1.834874034,1.988584995,2.130650043,2.238924026,2.307291985,2.325608969,2.295398951,2.250180006,2.203524113,"",2.061558008,"",1.899220943,"",1.754838943,"",1.641533017,"",1.535030961
"IMAGE 3.0.1","IMA15-Eff","World","Forcing|N2O","W/m2",0.167730004,0.180419996,0.192424998,0.202305004,0.210887,0.219024003,0.227181002,0.236086994,0.245655,"",0.26324001,"",0.279089004,"",0.293945998,"",0.307594001,"",0.320057005
"IMAGE 3.0.1","IMA15-LiStCh","World","Forcing","W/m2",2.124679089,2.370466948,2.663052082,2.827776909,2.91191411,2.91088295,2.855629921,2.767226934,2.659184933,"",2.438512087,"",2.260308981,"",2.102646112,"",1.997056961,"",1.910184979
"IMAGE 3.0.1","IMA15-LiStCh","World","Forcing|CH4","W/m2",0.492852002,0.513841987,0.519104004,0.495133996,0.454575002,0.412117988,0.376592994,0.348190993,0.325134009,"",0.295933992,"",0.283957005,"",0.273716986,"",0.262917012,"",0.252025992
"IMAGE 3.0.1","IMA15-LiStCh","World","Forcing|CO2","W/m2",1.835191011,1.990378022,2.132297993,2.236763954,2.301282883,2.323143005,2.310673952,2.279084921,2.227991104,"",2.088547945,"",1.938913941,"",1.801802039,"",1.696226954,"",1.611220956
"IMAGE 3.0.1","IMA15-LiStCh","World","Forcing|N2O","W/m2",0.167731002,0.180332005,0.191998005,0.201022997,0.207929999,0.213587001,0.218201995,0.222058997,0.225334004,"",0.231415004,"",0.237910002,"",0.244340003,"",0.250827014,"",0.25671199
"IMAGE 3.0.1","IMA15-LoNCO2","World","Forcing","W/m2",2.098475933,2.339571953,2.636203051,2.823601961,2.938124895,2.981563091,2.963589907,2.897792101,2.793667078,"",2.566714048,"",2.35808897,"",2.189806938,"",2.044475079,"",1.944409013
"IMAGE 3.0.1","IMA15-LoNCO2","World","Forcing|CH4","W/m2",0.493896008,0.513696015,0.518805027,0.500975013,0.470800012,0.440106004,0.411956996,0.381502986,0.350656003,"",0.298958004,"",0.258926004,"",0.228406996,"",0.203837007,"",0.181746006
"IMAGE 3.0.1","IMA15-LoNCO2","World","Forcing|CO2","W/m2",1.834879041,1.98983705,2.135719061,2.249185085,2.326766014,2.368613958,2.380688906,2.369319916,2.329078913,"",2.205296993,"",2.078493118,"",1.961770058,"",1.859004974,"",1.777065992
"IMAGE 3.0.1","IMA15-LoNCO2","World","Forcing|N2O","W/m2",0.167728007,0.180102006,0.191614002,0.201409996,0.209820002,0.217592999,0.224271998,0.229222,0.232553005,"",0.236307994,"",0.237982005,"",0.237819999,"",0.236644998,"",0.234761998
"IMAGE 3.0.1","IMA15-Pop","World","Forcing","W/m2",2.098361969,2.342683077,2.643321037,2.827500105,2.935256958,2.966995955,2.937501907,2.862673998,2.757302046,"",2.593888044,"",2.404800892,"",2.22220993,"",2.088527918,"",1.955575943
"IMAGE 3.0.1","IMA15-Pop","World","Forcing|CH4","W/m2",0.493896008,0.516259015,0.524206996,0.505155027,0.471547991,0.43452099,0.404554993,0.381729007,0.36521399,"",0.349866986,"",0.328184009,"",0.312171012,"",0.298429012,"",0.284848005
"IMAGE 3.0.1","IMA15-Pop","World","Forcing|CO2","W/m2",1.834879041,1.989766002,2.135020018,2.246814013,2.321950912,2.360929012,2.362694025,2.33228302,2.280034065,"",2.153968096,"",1.982468963,"",1.81983304,"",1.691354036,"",1.562926054
"IMAGE 3.0.1","IMA15-Pop","World","Forcing|N2O","W/m2",0.167728007,0.180412993,0.192390993,0.202172995,0.210529998,0.218244001,0.225530997,0.232737005,0.240251005,"",0.256451011,"",0.270879,"",0.283636987,"",0.294800997,"",0.304390013
"IMAGE 3.0.1","IMA15-RenElec","World","Forcing","W/m2",2.124514103,2.375340939,2.675478935,2.856859922,2.960963964,2.974545956,2.935431004,2.850258112,2.736485958,"",2.589292049,"",2.392194033,"",2.221543074,"",2.084530115,"",1.961246014
"IMAGE 3.0.1","IMA15-RenElec","World","Forcing|CH4","W/m2",0.492803991,0.514201999,0.521283984,0.502164006,0.470441997,0.435728997,0.405970007,0.382744998,0.367614001,"",0.354501992,"",0.339691013,"",0.327318013,"",0.316137999,"",0.305830985
"IMAGE 3.0.1","IMA15-RenElec","World","Forcing|CO2","W/m2",1.835144043,1.989747047,2.13271594,2.24030304,2.307610989,2.337392092,2.329390049,2.288559914,2.235053062,"",2.114453077,"",1.945767045,"",1.782639027,"",1.646038055,"",1.520653009
"IMAGE 3.0.1","IMA15-RenElec","World","Forcing|N2O","W/m2",0.167738006,0.180475995,0.192591995,0.202629998,0.211356997,0.21943,0.227037996,0.234573007,0.242394,"",0.258662999,"",0.274001986,"",0.288500994,"",0.301824987,"",0.31408599
"IMAGE 3.0.1","IMA15-TOT","World","Forcing","W/m2",2.099736929,2.347214937,2.633665085,2.803874969,2.864216089,2.851666927,2.779962063,2.673639059,2.553088903,"",2.327680111,"",2.142668009,"",2.011275053,"",1.936812997,"",1.893128037
"IMAGE 3.0.1","IMA15-TOT","World","Forcing|CH4","W/m2",0.494006991,0.512628973,0.513128996,0.484759003,0.439339012,0.396605998,0.357841015,0.321745992,0.291756988,"",0.248481005,"",0.215845004,"",0.189927995,"",0.168816,"",0.150176004
"IMAGE 3.0.1","IMA15-TOT","World","Forcing|CO2","W/m2",1.835006952,1.987701058,2.127295971,2.228291035,2.280406952,2.286287069,2.258620024,2.21234107,2.15280509,"",2.031991959,"",1.922698975,"",1.844378948,"",1.805559993,"",1.792062044
"IMAGE 3.0.1","IMA15-TOT","World","Forcing|N2O","W/m2",0.167739004,0.180047005,0.191082001,0.199459001,0.205327004,0.209626004,0.212263003,0.213447005,0.213578001,"",0.212069005,"",0.208991006,"",0.204468995,"",0.199019998,"",0.192975
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_1.5C-2100","World","Forcing","W/m2",2.0770471,"",2.5504024,"",2.9744474,"",2.9378376,"",2.809355,"",2.6595949,"",2.4823482,"",2.2804548,"",2.0829105,"",1.9107426
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_1.5C-2100","World","Forcing|CH4","W/m2",0.569184268,"",0.569701304,"",0.520642286,"",0.442041116,"",0.382164659,"",0.336236012,"",0.299608346,"",0.270945192,"",0.249840471,"",0.235771294
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_1.5C-2100","World","Forcing|CO2","W/m2",1.8492026,"",2.1936715,"",2.3766495,"",2.3906927,"",2.3430581,"",2.2509228,"",2.1232203,"",1.9611474,"",1.7879232,"",1.6270644
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_1.5C-2100","World","Forcing|N2O","W/m2",0.16703171,"",0.1907828,"",0.21324463,"",0.23117686,"",0.24455144,"",0.25415716,"",0.26072522,"",0.26522642,"",0.26891286,"",0.27192622
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Price1.5C","World","Forcing","W/m2",2.0770313,"",2.5358883,"",2.910369,"",3.2777999,"",3.161782,"",2.9992242,"",2.8294062,"",2.6492671,"",2.4585184,"",2.2782232
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Price1.5C","World","Forcing|CH4","W/m2",0.56918421,"",0.569708597,"",0.568459805,"",0.508875873,"",0.418553625,"",0.357192776,"",0.313583784,"",0.280330392,"",0.256376387,"",0.2404877
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Price1.5C","World","Forcing|CO2","W/m2",1.8492094,"",2.1936973,"",2.5061299,"",2.6639678,"",2.6443127,"",2.563976,"",2.4513761,"",2.316112,"",2.1533276,"",1.9835883
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Price1.5C","World","Forcing|N2O","W/m2",0.16703171,"",0.1907828,"",0.21558959,"",0.2375867,"",0.25326582,"",0.26405084,"",0.27097862,"",0.27545773,"",0.27889258,"",0.28161337
"REMIND 1.5","EMC_Def_100$","World","Forcing","W/m2",1.986706018,"",2.517740011,"",2.872018099,"",2.924371004,"",2.780644894,"",2.584448099,"",2.420486927,"",2.286195993,"",2.15335393,"",2.032922029
"REMIND 1.5","EMC_Def_100$","World","Forcing|CH4","W/m2",0.503027022,"",0.538973987,"",0.484375,"",0.434747994,"",0.407537013,"",0.387919009,"",0.381253004,"",0.378239989,"",0.372738004,"",0.362554014
"REMIND 1.5","EMC_Def_100$","World","Forcing|CO2","W/m2",1.839236021,"",2.154138088,"",2.333576918,"",2.351095915,"",2.238130093,"",2.07695508,"",1.909086943,"",1.744259,"",1.589226007,"",1.445832014
"REMIND 1.5","EMC_Def_100$","World","Forcing|N2O","W/m2",0.165285006,"",0.187367007,"",0.207654998,"",0.230520993,"",0.256399989,"",0.281571001,"",0.305411011,"",0.327773005,"",0.347490013,"",0.363801003
"REMIND 1.5","EMC_LimSW_100$","World","Forcing","W/m2",1.986583948,"",2.516989946,"",2.878608942,"",2.945137978,"",2.820440054,"",2.660407066,"",2.536941051,"",2.432312965,"",2.323826075,"",2.219063997
"REMIND 1.5","EMC_LimSW_100$","World","Forcing|CH4","W/m2",0.503027022,"",0.538914025,"",0.486963004,"",0.441875011,"",0.414927006,"",0.394553989,"",0.386496991,"",0.381853014,"",0.374985993,"",0.363674998
"REMIND 1.5","EMC_LimSW_100$","World","Forcing|CO2","W/m2",1.839236021,"",2.15468502,"",2.338350058,"",2.367047071,"",2.280689001,"",2.160883904,"",2.030678034,"",1.895861983,"",1.764554977,"",1.635462046
